com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder,buildTypeSerializer,com.fasterxml.jackson.databind.SerializationConfig;com.fasterxml.jackson.databind.JavaType;java.util.Collection,3
org.hibernate.validator.internal.xml.config.ValidationConfigStaxBuilder$ValueExtractorsStaxBuilder,getAcceptableQName,,1
org.apache.coyote.http11.AbstractHttp11Protocol,<init>,org.apache.tomcat.util.net.AbstractEndpoint,2
java.lang.reflect.AnnotatedParameterizedType,getAnnotatedActualTypeArguments,,5
org.hibernate.validator.internal.metadata.aggregated.PropertyMetaData,getAllConstraints,,1
com.fasterxml.jackson.core.util.TextBuffer,setCurrentAndReturn,int,2
java.util.List,addAll,java.util.Collection,48
com.fasterxml.jackson.annotation.JsonProperty,access,,1
org.apache.tomcat.util.bcel.classfile.Constant,getTag,,2
org.apache.tomcat.util.http.ServerCookies,getCookieCount,,2
org.apache.tomcat.websocket.server.WsRemoteEndpointImplServer,clearHandler,java.lang.Throwable;boolean,3
org.slf4j.helpers.MessageFormatter,charArrayAppend,java.lang.StringBuilder;char[],1
java.lang.reflect.Field,setAccessible,boolean,12
org.apache.coyote.Response,setWriteListener,javax.servlet.WriteListener,1
org.hibernate.validator.internal.util.logging.formatter.CollectionOfClassesObjectFormatter,<init>,java.util.Collection,3
org.apache.catalina.authenticator.FormAuthenticator,forwardToLoginPage,org.apache.catalina.connector.Request;javax.servlet.http.HttpServletResponse;org.apache.tomcat.util.descriptor.web.LoginConfig,1
com.fasterxml.jackson.databind.deser.std.DateDeserializers$DateBasedDeserializer,withDateFormat,java.text.DateFormat;java.lang.String,1
org.jboss.logging.Logger,tracef,java.lang.Throwable;java.lang.String;long;long;java.lang.Object,1
com.fasterxml.jackson.core.JsonParser,nextToken,,136
com.fasterxml.jackson.databind.deser.Deserializers,findEnumDeserializer,java.lang.Class;com.fasterxml.jackson.databind.DeserializationConfig;com.fasterxml.jackson.databind.BeanDescription,1
com.fasterxml.jackson.core.JsonParser$NumberType,ordinal,,5
org.apache.coyote.ajp.AbstractAjpProtocol,getPacketSize,,1
org.apache.logging.log4j.util.StackLocator,getInstance,,1
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer$Vanilla,_coerceIntegral,com.fasterxml.jackson.core.JsonParser;com.fasterxml.jackson.databind.DeserializationContext,1
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,_writeLongString,java.lang.String,1
org.apache.catalina.core.StandardServer,unregister,javax.management.ObjectName,1
org.apache.catalina.authenticator.SavedRequest,setDecodedRequestURI,java.lang.String,2
org.hibernate.validator.internal.metadata.raw.ConstrainedExecutable,isConstrained,,1
org.apache.coyote.AsyncStateMachine,isCompleting,,1
javax.naming.Context,unbind,javax.naming.Name,2
java.time.LocalTime,now,java.time.Clock,4
java.util.zip.GZIPOutputStream,flush,,1
javax.servlet.ServletInputStream,readLine,byte[];int;int,1
org.apache.logging.log4j.message.AbstractMessageFactory,newMessage,java.lang.String;java.lang.Object[],10
org.apache.coyote.http2.StreamStateMachine$State,access$100,org.apache.coyote.http2.StreamStateMachine$State,1
java.lang.Float,isInfinite,,1
com.fasterxml.jackson.databind.util.EnumValues,enums,,1
org.yaml.snakeyaml.representer.SafeRepresenter,addClassTag,java.lang.Class;org.yaml.snakeyaml.nodes.Tag,1
java.util.concurrent.ExecutionException,<init>,java.lang.Throwable,10
com.fasterxml.classmate.members.RawField,getDeclaringType,,1
org.apache.juli.logging.Log,fatal,java.lang.Object,1
org.apache.catalina.core.StandardHost,setDeployOnStartup,boolean,2
java.security.NoSuchProviderException,<init>,java.lang.String,2
org.hibernate.validator.internal.metadata.location.FieldConstraintLocation,getAccessible,java.lang.reflect.Field,1
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo,createInitial,int,2
org.apache.catalina.valves.rewrite.RewriteRule,setCookieSecure,boolean,1
org.apache.tomcat.util.descriptor.web.WebXml,isMetadataComplete,,4
javax.servlet.http.HttpServletResponse,getHeader,java.lang.String,1
java.lang.reflect.Method,isAccessible,,4
org.apache.tomcat.util.descriptor.web.ContextService,getServiceqnameLocalpart,,1
org.hibernate.validator.internal.metadata.aggregated.CascadingMetaDataBuilder,addArrayElementCascadingMetaData,java.lang.Class;java.util.Map;java.util.Map,1
org.hibernate.validator.resourceloading.PlatformResourceBundleLocator,access$100,java.security.PrivilegedAction,1
org.hibernate.validator.internal.engine.ValidatorFactoryImpl$ValidatorFactoryScopedContext$Builder,setTraversableResolverResultCacheEnabled,boolean,1
org.codehaus.groovy.runtime.BytecodeInterface8,objectArrayGet,java.lang.Object[];int,1
java.lang.StringBuilder,trimToSize,,1
org.apache.catalina.realm.UserDatabaseRealm,<init>,,1
com.fasterxml.jackson.databind.type.TypeBase,<init>,java.lang.Class;com.fasterxml.jackson.databind.type.TypeBindings;com.fasterxml.jackson.databind.JavaType;com.fasterxml.jackson.databind.JavaType[];int;java.lang.Object;java.lang.Object;boolean,7
org.apache.catalina.User,getUserDatabase,,5
com.fasterxml.jackson.databind.DeserializationContext,keyDeserializerInstance,com.fasterxml.jackson.databind.introspect.Annotated;java.lang.Object,3
org.apache.tomcat.util.net.openssl.OpenSSLSessionContext,<init>,org.apache.tomcat.util.net.openssl.OpenSSLContext,1
org.hibernate.validator.internal.engine.ValidationContext$BeanPathMetaConstraintProcessedUnit,createHashCode,,1
java.net.URL,hashCode,,1
java.util.List,add,int;java.lang.Object,5
org.apache.tomcat.util.net.Nio2Endpoint$Nio2SocketWrapper$3,<init>,org.apache.tomcat.util.net.Nio2Endpoint$Nio2SocketWrapper,1
org.apache.catalina.webresources.VirtualResource,<init>,org.apache.catalina.WebResourceRoot;java.lang.String;java.lang.String,1
org.apache.coyote.http11.Http11OutputBuffer,end,,2
com.fasterxml.jackson.core.io.UTF8Writer,write,java.lang.String;int;int,1
org.apache.coyote.AbstractProtocol,getName,,7
org.hibernate.validator.constraintvalidators.RegexpURLValidator,isValid,java.lang.CharSequence;javax.validation.ConstraintValidatorContext,1
com.fasterxml.jackson.core.json.async.NonBlockingJsonParser,_decodeSplitEscaped,int;int,4
javax.servlet.AsyncEvent,<init>,javax.servlet.AsyncContext;javax.servlet.ServletRequest;javax.servlet.ServletResponse;java.lang.Throwable,2
org.apache.catalina.connector.Request$SpecialAttributeAdapter,get,org.apache.catalina.connector.Request;java.lang.String,1
org.jboss.logging.Logger,tracef,java.lang.Throwable;java.lang.String;int;java.lang.Object;java.lang.Object,1
org.apache.tomcat.util.res.StringManager,getString,java.lang.String;java.lang.Object[],696
com.fasterxml.jackson.databind.deser.BeanDeserializerBase,deserializeFromObject,com.fasterxml.jackson.core.JsonParser;com.fasterxml.jackson.databind.DeserializationContext,1
org.apache.el.lang.ELArithmetic,add,java.lang.Object;java.lang.Object,3
org.apache.tomcat.util.compat.JreCompat,getApplicationProtocol,javax.net.ssl.SSLEngine,2
org.apache.tomcat.util.net.SocketProperties,getTcpNoDelay,,2
groovy.lang.Reference,<init>,java.lang.Object,3
